-1.707	37.8778	ES	E0601	XXK	0.8717
-5.9167	36.1928	ES	EXBAR	XXK	0.008
-2.957829	35.294878	ES	EMLI	XXK	0.085
0.1428	42.6862	ES	EBIE	XXK	2.13
-1.745285	37.639134	ES	ELOR	XXK	0.395
-6.783585	42.772367	ES	EBUR	XXK	0.995
-5.2099	43.3012	ES	EARI	XXK	0.68
-17.91573	27.81283	ES	EXVDE	XXK	0.6154
-3.471793	37.835415	ES	E0803	XXK	0.705
2.510075	42.143052	ES	ZVGAR	XXK	0.55
-15.5525	28.0718	ES	EOSO	XXK	0.76
-4.7727	36.5645	ES	EMIJ	XXK	0.47
-3.6372	37.94476	ES	E0501	XXK	0.265
-1.5071	43.2197	ES	EALK	XXK	0.965
1.3436	39.0269	ES	EIBI	XXK	0.26
-17.9828	27.6424	ES	CRST	XXK	0.003
-3.8348	37.0303	ES	EXAGR	XXK	1.057
-8.6965	42.1478	ES	EZAM	XXK	0.398
-16.5969	28.2649	ES	CRAJ	XXK	2.474
-16.4424	28.3231	ES	CGUI	XXK	0.871
-16.659966	28.31346	ES	CNOR	XXK	1.52
-18.0823	27.7296	ES	CJUL	XXK	1.282
-17.9883	27.647	ES	CNAO	XXK	0.118
-17.828703	28.598969	ES	CALD	XXK	1.56
-13.776006	28.864999	ES	CAJA	XXK	0.12
-17.791452	28.627437	ES	CBRE	XXK	0.575
-17.7786	28.6198	ES	CMAZ	XXK	0.405
-16.593	28.3142	ES	CFOR	XXK	2.13
-18.085761	27.749386	ES	CTAB	XXK	0.14
-15.6374	28.1216	ES	GGC	XXK	0.548
-16.5593	28.285	ES	CDIE	XXK	2.0875
-17.9099	28.6167	ES	CLLA	XXK	0.271
-16.830646	28.31442	ES	CBOL	XXK	1.161
-18.1448	27.7047	ES	CORC	XXK	0.097
-16.675353	28.155675	ES	CLAJ	XXK	1.412
-16.7626	28.3419	ES	CGAR	XXK	0.9
-18.0543	27.75438	ES	CTAN	XXK	0.018
-17.755571	28.734821	ES	CPUN	XXK	0.583
-17.895141	28.755682	ES	CROM	XXK	2.225
-17.83701	28.48222	ES	CTEN	XXK	0.46
-18.01986	27.713	ES	CMCL	XXK	1.105
-13.749863	28.998548	ES	CTIM	XXK	0.365
-16.607005	28.223732	ES	CCAN	XXK	2.25
-16.63312	28.084847	ES	CTFS	XXK	0.521
-18.147203	27.712828	ES	CCAL	XXK	0.111
-18.0301	27.7459	ES	CCUM	XXK	0.464
-17.9607	27.727	ES	CHIE	XXK	0.17
-16.5345	28.1015	ES	CGRA	XXK	0.26
-18.020452	27.674889	ES	CTAC	XXK	0.165
-17.994899	28.778859	ES	CGOR	XXK	0.445
-13.8149	28.7649	ES	CLOB	XXK	0.081
-16.5807	28.3529	ES	CREA	XXK	0.94
-16.7427	28.1607	ES	CADE	XXK	0.792
-17.87033	28.57924	ES	CJED	XXK	0.871
-17.84609	28.62581	ES	CENR	XXK	1.21
-16.392	28.4018	ES	CPIT	XXK	1.165
-13.44389	29.16311	ES	CDLV	XXK	0.037
-16.7393	28.29412	ES	CDOS	XXK	1.62
-16.6466	28.3645	ES	CLGU	XXK	0.681
-14.0823	28.2054	ES	CGIN	XXK	0.116
-13.703316	29.033867	ES	CBLA	XXK	0.27
-16.673729	28.225238	ES	CCHO	XXK	2.07
-16.505	28.1867	ES	CARI	XXK	0.691
-14.085531	28.417675	ES	CFTV	XXK	0.5315
-16.642453	28.159329	ES	CVIL	XXK	1.49
-18.1106	27.7535	ES	EHRO	XXK	0.135
-16.6609	28.2619	ES	CPVI	XXK	3.04
-17.86211	28.697543	ES	CMIR	XXK	1.295
-17.88939	28.63473	ES	CAVE	XXK	0.515
-16.7208	28.2475	ES	GUIA	XXK	1.821
-15.650344	27.818081	ES	CLUM	XXK	0.435
-16.724	28.1275	ES	CINF	XXK	0.405
-17.8431	28.4972	ES	CFLP	XXK	0.735
-17.8226	28.5921	ES	CVIE	XXK	1.5
-2.5697	36.9609	ES	EXAA2	XXK	0.491
-3.0133	36.7499	ES	EXAD	XXK	0.012
-3.63191	37.14221	ES	EXARM	XXK	0.6778
-3.58703	36.74413	ES	EXSAL	XXK	0.05
-2.1098	36.7604	ES	EXSJO	XXK	0.025
-17.24235	28.055383	ES	CALA	XXK	0.74
2.643	39.5692	ES	EXPAL	XXK	0.024
-17.951533	27.738233	ES	CISO	XXK	0.8262999999999999
