grid point 562,  1 calculation(s)
grid point 561,  1 calculation(s)
grid point 559,  1 calculation(s)
grid point 565,  1 calculation(s)
grid point 564,  1 calculation(s)
grid point 563,  1 calculation(s)
grid point 566,  1 calculation(s)
grid point 558,  1 calculation(s)
grid point 571,  1 calculation(s)
grid point 570,  1 calculation(s)
grid point 569,  1 calculation(s)
grid point 568,  1 calculation(s)
grid point 574,  1 calculation(s)
grid point 572,  1 calculation(s)
grid point 573,  1 calculation(s)
grid point 575,  1 calculation(s)
grid point 567,  1 calculation(s)
grid point 580,  1 calculation(s)
grid point 578,  1 calculation(s)
grid point 579,  1 calculation(s)
grid point 577,  1 calculation(s)
grid point 583,  1 calculation(s)
grid point 582,  1 calculation(s)
grid point 581,  1 calculation(s)
grid point 584,  1 calculation(s)
grid point 576,  1 calculation(s)
grid point 589,  1 calculation(s)
grid point 588,  1 calculation(s)
grid point 587,  1 calculation(s)
grid point 586,  1 calculation(s)
grid point 592,  1 calculation(s)
grid point 590,  1 calculation(s)
grid point 591,  1 calculation(s)
grid point 593,  1 calculation(s)
grid point 585,  1 calculation(s)
grid point 598,  1 calculation(s)
grid point 596,  1 calculation(s)
grid point 597,  1 calculation(s)
grid point 595,  1 calculation(s)
grid point 601,  1 calculation(s)
grid point 600,  1 calculation(s)
grid point 599,  1 calculation(s)
grid point 602,  1 calculation(s)
grid point 594,  1 calculation(s)
grid point 607,  1 calculation(s)
grid point 606,  1 calculation(s)
grid point 605,  1 calculation(s)
grid point 604,  1 calculation(s)
grid point 610,  1 calculation(s)
grid point 609,  1 calculation(s)
grid point 608,  1 calculation(s)
grid point 611,  1 calculation(s)
grid point 603,  1 calculation(s)
grid point 616,  1 calculation(s)
grid point 614,  1 calculation(s)
grid point 615,  1 calculation(s)
grid point 613,  1 calculation(s)
grid point 619,  1 calculation(s)
grid point 617,  1 calculation(s)
grid point 618,  1 calculation(s)
grid point 620,  1 calculation(s)
grid point 612,  1 calculation(s)
grid point 625,  1 calculation(s)
grid point 624,  1 calculation(s)
grid point 623,  1 calculation(s)
grid point 622,  1 calculation(s)
grid point 628,  1 calculation(s)
grid point 626,  1 calculation(s)
grid point 627,  1 calculation(s)
grid point 629,  1 calculation(s)
grid point 621,  1 calculation(s)
grid point 634,  1 calculation(s)
grid point 632,  1 calculation(s)
grid point 633,  1 calculation(s)
grid point 631,  1 calculation(s)
grid point 637,  1 calculation(s)
grid point 636,  1 calculation(s)
grid point 635,  1 calculation(s)
grid point 638,  1 calculation(s)
grid point 630,  1 calculation(s)
grid point 643,  1 calculation(s)
grid point 642,  1 calculation(s)
grid point 641,  1 calculation(s)
grid point 640,  1 calculation(s)
grid point 646,  1 calculation(s)
grid point 645,  1 calculation(s)
grid point 644,  1 calculation(s)
grid point 647,  1 calculation(s)
grid point 639,  1 calculation(s)
grid point 652,  1 calculation(s)
grid point 650,  1 calculation(s)
grid point 651,  1 calculation(s)
grid point 649,  1 calculation(s)
grid point 655,  1 calculation(s)
grid point 654,  1 calculation(s)
grid point 653,  1 calculation(s)
grid point 656,  1 calculation(s)
grid point 648,  1 calculation(s)
grid point 661,  1 calculation(s)
grid point 660,  1 calculation(s)
grid point 659,  1 calculation(s)
grid point 658,  1 calculation(s)
grid point 664,  1 calculation(s)
grid point 663,  1 calculation(s)
grid point 662,  1 calculation(s)
grid point 665,  1 calculation(s)
grid point 657,  1 calculation(s)
grid point 670,  1 calculation(s)
grid point 668,  1 calculation(s)
grid point 669,  1 calculation(s)
grid point 667,  1 calculation(s)
grid point 673,  1 calculation(s)
grid point 671,  1 calculation(s)
grid point 672,  1 calculation(s)
grid point 674,  1 calculation(s)
grid point 666,  1 calculation(s)
grid point 679,  1 calculation(s)
grid point 677,  1 calculation(s)
grid point 678,  1 calculation(s)
grid point 676,  1 calculation(s)
grid point 682,  1 calculation(s)
grid point 680,  1 calculation(s)
grid point 681,  1 calculation(s)
grid point 683,  1 calculation(s)
grid point 675,  1 calculation(s)
grid point 688,  1 calculation(s)
grid point 686,  1 calculation(s)
grid point 687,  1 calculation(s)
grid point 685,  1 calculation(s)
grid point 691,  1 calculation(s)
grid point 690,  1 calculation(s)
grid point 689,  1 calculation(s)
grid point 692,  1 calculation(s)
grid point 684,  1 calculation(s)
grid point 696,  1 calculation(s)
grid point 697,  1 calculation(s)
grid point 695,  1 calculation(s)
grid point 694,  1 calculation(s)
grid point 700,  1 calculation(s)
grid point 699,  1 calculation(s)
grid point 698,  1 calculation(s)
grid point 701,  1 calculation(s)
grid point 693,  1 calculation(s)
grid point 706,  1 calculation(s)
grid point 705,  1 calculation(s)
grid point 704,  1 calculation(s)
grid point 703,  1 calculation(s)
grid point 709,  1 calculation(s)
grid point 707,  1 calculation(s)
grid point 708,  1 calculation(s)
grid point 710,  1 calculation(s)
grid point 702,  1 calculation(s)
grid point 715,  1 calculation(s)
grid point 713,  1 calculation(s)
grid point 714,  1 calculation(s)
grid point 712,  1 calculation(s)
grid point 718,  1 calculation(s)
grid point 717,  1 calculation(s)
grid point 716,  1 calculation(s)
grid point 719,  1 calculation(s)
grid point 711,  1 calculation(s)
grid point 724,  1 calculation(s)
grid point 723,  1 calculation(s)
grid point 722,  1 calculation(s)
grid point 721,  1 calculation(s)
grid point 727,  1 calculation(s)
grid point 726,  1 calculation(s)
grid point 725,  1 calculation(s)
grid point 728,  1 calculation(s)
grid point 720,  1 calculation(s)
