Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
PAND	?	?	?	S	?	20220201	0223	37.580	GAU	2.50E-03	-1.00E+00	26800000000.0	-1.00E+00
CSOR	?	?	?	P	?	20220201	0223	39.470	GAU	1.00E-02	-1.00E+00	14600000.0	-1.00E+00
CSOR	?	?	?	S	?	20220201	0223	43.210	GAU	5.00E-03	-1.00E+00	29500000.0	-1.00E+00
CEST	?	?	?	P	?	20220201	0223	37.480	GAU	7.50E-03	-1.00E+00	20200000.0	-1.00E+00
CEST	?	?	?	S	?	20220201	0223	39.510	GAU	5.00E-03	-1.00E+00	29100000.0	-1.00E+00
SALF	?	?	?	P	?	20220201	0223	39.980	GAU	1.00E-02	-1.00E+00	9550000000.0	-1.00E+00
SALF	?	?	?	S	?	20220201	0223	43.890	GAU	1.00E-02	-1.00E+00	4970000000.0	-1.00E+00
GENF	?	?	?	P	?	20220201	0223	40.450	GAU	7.50E-03	-1.00E+00	10700000.0	-1.00E+00
GENF	?	?	?	S	?	20220201	0223	44.690	GAU	5.00E-03	-1.00E+00	10700000.0	-1.00E+00
CARF	?	?	?	S	?	20220201	0223	51.530	GAU	7.50E-03	-1.00E+00	2190000000.0	-1.00E+00

Station_name	Instrument	Component	P_phase_onset	P_phase_descriptor	First_Motion	Date	Hourmin	Seconds	GAU	Err	Coda_duration	Amplitude	Period
ARBS	?	?	?	P	?	20220201	0230	33.000	GAU	2.50E-03	-1.00E+00	21500000.0	-1.00E+00
ARBS	?	?	?	S	?	20220201	0230	34.750	GAU	7.50E-03	-1.00E+00	41700000.0	-1.00E+00
CORG	?	?	?	P	?	20220201	0230	36.580	GAU	5.00E-03	-1.00E+00	11700000.0	-1.00E+00
CORG	?	?	?	S	?	20220201	0230	41.370	GAU	7.50E-03	-1.00E+00	8860000.0	-1.00E+00
PAND	?	?	?	P	?	20220201	0230	32.550	GAU	2.50E-03	-1.00E+00	29800000000.0	-1.00E+00
PAND	?	?	?	S	?	20220201	0230	33.920	GAU	2.50E-03	-1.00E+00	38900000000.0	-1.00E+00
CSOR	?	?	?	P	?	20220201	0230	35.880	GAU	2.50E-03	-1.00E+00	19700000.0	-1.00E+00
CSOR	?	?	?	S	?	20220201	0230	39.530	GAU	5.00E-03	-1.00E+00	20900000.0	-1.00E+00
