date,fname,year,month,day,net,station,flag,tt,date_time,weight,amplitude,phase,channel
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,77624.36,2021-01-26T21:33:44.360000,0.5147590041160583,9775521.545410156,S,HHZ
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79228.67,2021-01-26T22:00:28.670000,0.5257443189620972,113476174.8046875,S,HHZ
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79788.34999999999,2021-01-26T22:09:48.350000,0.5039987564086914,19264309.936523438,S,HHZ
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79866.25,2021-01-26T22:11:06.250000,0.30876624584198,23466458.374023438,S,HHZ
20210126,ES.E0802.S,2021,1,26,ES,E0802,1,79880.11,2021-01-26T22:11:20.110000,0.5537872314453125,26815607.177734375,S,HHZ
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,77815.04999999999,2021-01-26T21:36:55.050000,0.7531314492225647,579509937.5,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78030.82999999999,2021-01-26T21:40:30.830000,0.5350150465965271,12204367.309570312,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78280.5,2021-01-26T21:44:40.500000,0.6165623068809509,553463726.5625,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78831.39,2021-01-26T21:53:51.390000,0.40418925881385803,2333385.543823242,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78845.29999999999,2021-01-26T21:54:05.300000,0.31312471628189087,2242633.30078125,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78873.98999999999,2021-01-26T21:54:33.990000,0.839669406414032,8710537.170410156,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78917.54999999999,2021-01-26T21:55:17.550000,0.5028453469276428,360083039.0625,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79092.11,2021-01-26T21:58:12.110000,0.6285286545753479,40101156.494140625,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79221.79,2021-01-26T22:00:21.790000,0.7167655229568481,82886501.953125,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79781.48999999999,2021-01-26T22:09:41.490000,0.8557177186012268,14114837.280273438,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79797.51,2021-01-26T22:09:57.510000,0.3751848638057709,32977743.65234375,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,79869.79,2021-01-26T22:11:09.790000,0.6199808716773987,15592097.16796875,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80024.98999999999,2021-01-26T22:13:44.990000,0.7831196188926697,7606933.654785156,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80328.84999999999,2021-01-26T22:18:48.850000,0.8600437641143799,24680484.130859375,P,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,80704.54999999999,2021-01-26T22:25:04.550000,0.6530864238739014,2966632.095336914,P,HHE
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,77778.01999999999,2021-01-26T21:36:18.020000,0.40634840726852417,2331451.889038086,S,HHE
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,78296.79,2021-01-26T21:44:56.790000,0.8110705614089966,1450721390.625,S,HHE
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,79237.90999999999,2021-01-26T22:00:37.910000,0.4379578232765198,182466590.8203125,S,HHE
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,79801.54999999999,2021-01-26T22:10:01.550000,0.32027071714401245,32977743.65234375,S,HHE
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,79887.62999999999,2021-01-26T22:11:27.630000,0.38433417677879333,29536971.19140625,S,HHE
20210126,ES.EADA.S,2021,1,26,ES,EADA,1,80574.45999999999,2021-01-26T22:22:54.460000,0.36564573645591736,1610779.4647216797,S,HHE
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,77815.04999999999,2021-01-26T21:36:55.050000,0.7607752680778503,592044425.78125,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78031.22,2021-01-26T21:40:31.220000,0.5637367367744446,18795046.752929688,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78280.48999999999,2021-01-26T21:44:40.490000,0.6670195460319519,548676578.125,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78830.97,2021-01-26T21:53:50.970000,0.586181104183197,1427474.1287231445,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78874.39,2021-01-26T21:54:34.390000,0.7154463529586792,8481862.854003906,P,HHN
20210126,ES.EADA.P,2021,1,26,ES,EADA,1,78917.40999999999,2021-01-26T21:55:17.410000,0.4266537129878998,521472148.4375,P,HHN
